"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Abadín",FALSE,1.429,NA,1.429,-Inf,1.429,Inf
"Abadín",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Abadiño",FALSE,1.337,NA,1.359,-Inf,1.315,Inf
"Abanilla",FALSE,1.309,NA,1.319,-Inf,1.299,Inf
"Abanilla",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Abanto y Ciérvana-Abanto Zierbena",FALSE,1.45566666666667,NA,1.459,-Inf,1.449,Inf
"Abanto y Ciérvana-Abanto Zierbena",TRUE,1.449,NA,1.449,-Inf,1.449,Inf
"Abarán",FALSE,1.369,NA,1.379,-Inf,1.359,Inf
"Abarán",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Abegondo",FALSE,1.278,NA,1.278,-Inf,1.278,Inf
"Abegondo",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Abejar",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Abengibre",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Abenójar",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Abla",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Ablitas",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Abrera",FALSE,1.374,1.539,1.379,1.539,1.369,1.539
"Abrera",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Acedera",FALSE,1.237,NA,1.237,-Inf,1.237,Inf
"Aceuchal",FALSE,1.223,NA,1.223,-Inf,1.223,Inf
"Aceuchal",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Adamuz",FALSE,1.239,NA,1.239,-Inf,1.239,Inf
"Adamuz",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Adanero",TRUE,1.375,1.573,1.375,1.573,1.375,1.573
"Adeje",FALSE,1.10055555555556,NA,1.161,-Inf,0.989,Inf
"Adeje",TRUE,1.12033333333333,NA,1.134,-Inf,1.108,Inf
"Ademuz",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Adra",FALSE,1.224,NA,1.231,-Inf,1.217,Inf
"Adra",TRUE,1.3815,NA,1.389,-Inf,1.359,Inf
"Adrada (La)",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Adrada (La)",TRUE,1.425,NA,1.425,-Inf,1.425,Inf
"Agaete",FALSE,1.099,NA,1.099,-Inf,1.099,Inf
