"c_p","direccion","localidad","municipio","id_provincia","ideess","horario"
"02001","CALLE FEDERICO GARCIA LORCA, 1","ALBACETE","Albacete","02",13933,"L-D: 24H"
"02005","AVENIDA MENÉNDEZ PIDAL, 58","ALBACETE","Albacete","02",4369,"L-D: 24H"
"02006","CARRETERA JAEN KM. 2","ALBACETE","Albacete","02",5245,"L-D: 24H"
"02006","CR N-301, 244","ALBACETE","Albacete","02",5208,"L-D: 24H"
"02004","CARRETERA N-322 KM. 349","ALBACETE","Albacete","02",11048,"L-D: 24H"
"02099","CTRA.AGUASNUEVAS KM 0,25","SALOBRAL (EL)","Albacete","02",8915,"L-D: 24H"
"02007","AVENIDA PRIMERA, S/N","ALBACETE","Albacete","02",13369,"L-D: 24H"
"02007","CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N","ALBACETE","Albacete","02",14612,"L-D: 24H"
"02007","AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67","ALBACETE","Albacete","02",13930,"L-D: 24H"
"02007","POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69","ALBACETE","Albacete","02",12801,"L-D: 24H"
"02007","POLIGONO CAMPOLLANO C/.F, 13","ALBACETE","Albacete","02",10129,"L-D: 24H"
"02007","AVENIDA 3ª ESQUINA C/ F Nº3, 3","ALBACETE","Albacete","02",12763,"L-D: 24H"
"02080","AUTOVIA A-30 KM. 239,4","ALBACETE","Albacete","02",5174,"L-D: 24H"
"02640","AVENIDA CIRCUNVALACION, 17","ALMANSA","Almansa","02",11931,"L-D: 24H"
"02640","CALLE INFANTE DON JUAN MANUEL, 4","ALMANSA","Almansa","02",14256,"L-D: 24H"
"02640","CARRETERA N-430 BADAJOZ A VALENCIA KM. 594","ALMANSA","Almansa","02",14129,"L-D: 24H"
"02690","BONETE, S/Nº","ALPERA","Alpera","02",9035,"L-D: 24H"
"02639","CAMINO DE LOS GONZALOS SN","BARRAX","Barrax","02",9254,"L-D: 24H"
"02200","AVDA. DEL VINO, 10","CASAS-IBAÑEZ","Casas-Ibáñez","02",10953,"L-D: 24H"
"02660","CARRETERA D-12 ESTACION KM. 32","CAUDETE","Caudete","02",14203,"L-D: 24H"
"02660","CARRETERA D12 ESTACION KM. 1","CAUDETE","Caudete","02",15047,"L-D: 24H"
"02660","CARRETERA N-344 KM. 114,500","CAUDETE","Caudete","02",12471,"L-D: 24H"
"02247","CALLE VIRGEN DE LAS NIEVES, 17","CENIZATE","Cenizate","02",12074,"L-D: 24H"
"02651","LA HIGUERA, 000","FUENTE-ALAMO","Fuente-Álamo","02",10621,"L-D: 24H"
"02400","CARRETERA TORREUCHEA KM. 1","HELLIN","Hellín","02",11181,"L-D: 24H"
"02400","CARRETERA N 301-A KM. S/N","HELLIN","Hellín","02",14148,"L-D: 24H"
"02400","AVENIDA LIBERTAD, 111","HELLIN","Hellín","02",14611,"L-D: 24H"
"02400","POLIGONO SAN RAFAEL 3ª FASE, SN","HELLIN","Hellín","02",11142,"L-D: 24H"
"02694","BALTASAR GONZALEZ SAEZ, 34 - 36","HIGUERUELA","Higueruela","02",8895,"L-D: 24H"
"02230","AVENIDA DE LEVANTE 27","MADRIGUERAS","Madrigueras","02",9252,"L-D: 24H"
"02240","CAMINO HORTIGOSA, S/N","MAHORA","Mahora","02",9250,"L-D: 24H"
"02620","CARRETERA MADRID-CARTAGENA KM. S/N","MINAYA","Minaya","02",9219,"L-D: 24H"
"02612","CALLE COOPERATIVAS, 4","MUNERA","Munera","02",12231,"L-D: 24H"
"02652","CAMINO DE HELLIN S/N","ONTUR","Ontur","02",11340,"L-D: 24H"
"02120","AVENIDA GUARDIA CIVIL, S/N","PEÑAS DE SAN PEDRO","Peñas de San Pedro","02",14417,"L-D: 24H"
"02692","CARRETERA FUENTEALAMO KM. 36","PETROLA","Pétrola","02",4791,"L-D: 24H"
"02154","POLIGONO PARAJE RECIAL, 2","POZO-LORENTE","Pozo-Lorente","02",12334,"L-D: 24H"
"02630","CR NACIONAL 301 km 210,300","RODA (LA)","Roda (La)","02",9414,"L-D: 24H"
"02630","POLIGONO AVENIDA PRIMERA, 17","RODA (LA)","Roda (La)","02",14811,"L-D: 24H"
"02630","ALFREDO ATIENZA, 149-151","RODA (LA)","Roda (La)","02",8958,"L-D: 24H"
"02630","CARRETERA AB101 KM. 0,2","RODA (LA)","Roda (La)","02",13480,"L-D: 24H"
"02100","CARRETERA VILLAGARCIA KM. 0,1","TARAZONA DE LA MANCHA","Tarazona de la Mancha","02",11402,"L-D: 24H"
"02100","AVENIDA ALBACETE, 35","TARAZONA DE LA MANCHA","Tarazona de la Mancha","02",12953,"L-D: 24H"
"02500","AVENIDA GUARDIA CIVIL, 233","TOBARRA","Tobarra","02",5219,"L-D: 24H"
"02150","SANTA CRUZ 16","VALDEGANGA","Valdeganga","02",8900,"L-D: 24H"
"02636","CALLE DEL VINO, 10","VILLALGORDO DEL JUCAR","Villalgordo del Júcar","02",12702,"L-D: 24H"
"02270","CALLE VALENCIA, 41","VILLAMALEA","Villamalea","02",10053,"L-D: 24H"
"02600","AUTOVIA A-43 KM. 129","VILLARROBLEDO","Villarrobledo","02",11797,"L-D: 24H"
"02600","CALLE GENERAL MARTI, 2","VILLARROBLEDO","Villarrobledo","02",14804,"L-D: 24H"
"02600","CARRETERA MUNERA KM. 0,500","VILLARROBLEDO","Villarrobledo","02",14539,"L-D: 24H"
"03698","AUTOPISTA AP 7 KM. 696","AGOST","Agost","03",11305,"L-D: 24H"
"03698","AUTOPISTA AP 7 KM. 696","AGOST","Agost","03",11306,"L-D: 24H"
"03340","CALLE POLIGONO INDUSTRIAL MOS DEL BOU, CALLE EL ESPARTO, 5","ALBATERA","Albatera","03",14191,"L-D: 24H"
"03340","CARRETERA CATRAL-ALBATERA KM. 4,2","ALBATERA","Albatera","03",3692,"L-D: 24H"
"03340","CARRETERA N-340 KM. 696,7","ALBATERA","Albatera","03",3588,"L-D: 24H"
"03340","N-340 km 696,7","ALBATERA","Albatera","03",3589,"L-D: 24H"
"03728","POLIGONO PLAZA MOSQUERA, 6","ALCALALI","Alcalalí","03",14852,"L-D: 24H"
"03801","CALLE ALICANTE, 62","ALCOY/ALCOI","Alcoy/Alcoi","03",13370,"L-D: 24H"
"03800","CALLE VALENCIA ESQ C/SANT JOAN BOSCO, 1","ALCOY/ALCOI","Alcoy/Alcoi","03",14200,"L-D: 24H"
"03800","Alicante, 1 - P.I. Beniata","ALCOY/ALCOI","Alcoy/Alcoi","03",3713,"L-D: 24H"
"03580","AVENIDA ALBIR, 90","ALFAS DEL PI (L')","Alfàs del Pi (l')","03",15006,"L-D: 24H"
"03580","AVENIDA PAIS VALENCIÁ, 47","ALFAS DEL PI (L')","Alfàs del Pi (l')","03",15099,"L-D: 24H"
"03013","AVENIDA DENIA, 80","ALICANTE/ALACANT","Alicante/Alacant","03",10940,"L-D: 24H"
"03013","AVENIDA DENIA, 75","ALICANTE/ALACANT","Alicante/Alacant","03",10941,"L-D: 24H"
